18
start: ( 44 , 87 )
goal: ( 13 , 3 )
1 44 87 False
1 43 87 False
1 42 87 True
2 43 87 False
2 43 86 False
2 42 86 False
2 41 86 False
2 40 86 True
3 41 86 False
3 41 85 False
3 40 85 True
4 41 85 False
4 41 84 True
5 41 85 False
5 42 85 True
6 41 85 False
6 41 86 False
6 41 87 False
6 40 87 True
7 41 87 False
7 41 88 False
7 40 88 True
8 41 88 False
8 41 89 False
8 40 89 False
8 39 89 True
9 40 89 False
9 40 90 False
9 39 90 False
9 38 90 False
9 37 90 True
10 38 90 False
10 38 89 False
10 37 89 False
10 36 89 True
11 37 89 False
11 37 88 True
12 37 89 False
12 38 89 False
12 38 88 True
13 38 89 False
13 38 90 False
13 38 91 False
13 37 91 False
13 36 91 False
13 35 91 True
14 36 91 False
14 36 90 True
15 36 91 False
15 36 92 False
15 35 92 False
15 34 92 False
15 33 92 False
15 32 92 False
15 31 92 False
15 30 92 False
15 29 92 False
15 28 92 True
16 29 92 False
16 29 91 True
17 29 92 False
17 30 92 False
17 30 91 False
17 30 90 False
17 29 90 False
17 28 90 False
17 27 90 False
17 26 90 False
17 25 90 False
17 24 90 True
18 25 90 False
18 25 89 False
18 24 89 False
18 23 89 False
18 22 89 False
18 21 89 False
18 20 89 True
19 21 89 False
19 21 88 False
19 20 88 False
19 19 88 False
19 18 88 False
19 17 88 False
19 16 88 False
19 15 88 False
19 14 88 False
19 13 88 False
19 13 87 True
20 13 88 False
20 14 88 False
20 14 87 True
21 14 88 False
21 13 88 False
21 12 88 False
21 12 87 False
21 12 86 True
22 12 87 False
22 11 87 False
22 11 86 True
23 11 87 False
23 10 87 False
23 10 86 False
23 10 85 False
23 11 85 True
24 10 85 False
24 10 84 True
25 10 85 False
25 9 85 False
25 9 84 False
25 9 83 False
25 10 83 True
26 9 83 False
26 9 82 False
26 10 82 False
26 11 82 True
27 10 82 False
27 10 81 True
28 10 82 False
28 9 82 False
28 9 81 False
28 9 80 False
28 10 80 True
29 9 80 False
29 9 79 False
29 10 79 True
30 9 79 False
30 9 78 False
30 10 78 False
30 11 78 False
30 12 78 True
31 11 78 False
31 11 77 True
32 11 78 False
32 10 78 False
32 10 77 True
33 10 78 False
33 11 78 False
33 11 79 True
34 11 78 False
34 10 78 False
34 9 78 False
34 9 77 True
35 9 78 False
35 8 78 False
35 8 77 False
35 8 76 False
35 9 76 False
35 10 76 False
35 11 76 True
36 10 76 False
36 10 75 False
36 11 75 False
36 12 75 False
36 13 75 True
37 12 75 False
37 12 74 False
37 13 74 True
38 12 74 False
38 12 73 True
39 12 74 False
39 11 74 False
39 11 73 False
39 11 72 False
39 12 72 True
40 11 72 False
40 11 71 True
41 11 72 False
41 10 72 False
41 10 71 False
41 10 70 False
41 11 70 False
41 12 70 False
41 13 70 False
41 13 69 False
41 13 68 False
41 13 67 True
42 13 68 False
42 14 68 False
42 14 67 True
43 14 68 False
43 13 68 False
43 12 68 True
44 13 68 False
44 14 68 False
44 15 68 False
44 15 67 False
44 15 66 False
44 14 66 False
44 13 66 True
45 14 66 False
45 14 65 True
46 14 66 False
46 15 66 False
